State,Average of Top Heavy,Average of Tele Switch Cubes,Average of Tele Scale Cubes,Average of Tele Exc Cubes,Average of Tele Cubes from Portal,Average of Tele Cubes from Floor,Average of Tele Cubes Dropped,Average of Fouls,Average of Endgame Platform,Average of Endgame Lifted by Partner,Average of Endgame Lifed Other,Average of Endgame Climb,Average of Card,Average of Auto Switch Cubes,Average of Auto Scale Cubes,Average of Auto Line,Average of Auto Exc Cubes,SumNorm
5663,0,5,30.90909091,18.18181818,0,0,-1.090909091,0,0,0,0,0,0,1.32231405,0,4.545454545,0,1
5584,0,3,22,3.5,0,0,-2.1,0,2.5,4.5,1.5,15,0,1.6,0.05,5,0,0.960627545
6579,0,4,26,6,0,0,-0.9,0,3,0,0,12,0,1.6,0,4.5,0,0.954682016
5985,0,4.444444444,25.55555556,15.55555556,0,0,-3,0,4.444444444,0,0,0,0,1.111111111,0.24691358,5,0,0.906404743
6510,0,5,16.66666667,6.111111111,0,0,-4.333333333,0,3.333333333,3.333333333,0,13.33333333,0,0.771604938,0.24691358,3.888888889,0,0.821363762
4613,0,9.285714286,20,0,0,0,-2.142857143,0,0.714285714,0,0,12.85714286,0,0.459183673,1.632653061,4.285714286,0,0.799959602
6083,0,4.166666667,5.833333333,21.25,0,0,-0.75,0,3.75,0,0,7.5,0,0,0,4.583333333,0,0.787074734
6024,0,0.625,27.5,1.875,0,0,-1.875,0,1.875,0,0,11.25,0,0.625,0,4.375,0,0.785659132
5331,0,5,0,33.57142857,0,0,-3,0,4.285714286,0,0,0,0,0.204081633,0,5,0,0.765465136
3132,0,2,4,0,0,0,-2.4,0,0,0,9,24,0,1.6,0,5,0,0.733848098
6007,0,5.555555556,0,21.11111111,0,0,-3,0,3.888888889,0,0,0,0,0.49382716,0,2.222222222,0,0.514230549
6050,0,8.333333333,1.666666667,2.5,0,0,0,-0.833333333,3.333333333,0,0,10,0,0,0,5,0,0.509616735
6433,0,10,0,20,0,0,0,-5,0,0,0,0,0,0,0,5,0,0.509616735
6813,0,19.375,0,0,0,0,-1.125,0,5,1.875,0,0,0,0.0390625,0,4.375,0,0.501786686
5648,0,4,0,9,0,0,0,0,5,0,0,6,0,0,0,5,0,0.49262951
5333,0,9.285714286,1.428571429,12.14285714,0,0,-0.857142857,0,2.142857143,0,0,0,0,0,0,4.285714286,0,0.482922525
6434,0,13.125,2.5,10,0,0,-4.875,-0.625,3.125,0,0,0,0,0.15625,0,5,0,0.482543346
6509,0,7.5,0,7.5,0,0,-1.125,0,3.75,1.875,0,3.75,0,0.0390625,0,5,0,0.480552655
7050,0,6.25,15,0,0,0,-2.25,0,3.125,0,0,3.75,0,0,0,1.875,0,0.471395479
6524,0,8.571428571,2.857142857,6.428571429,0,0,-3,0,4.285714286,0,0,4.285714286,0,0.204081633,0,3.571428571,0,0.462121842
5813,0,25,0,0,0,0,-3,0,0,0,0,0,0,0,0,5,0,0.458655061
4774,0,1.5,17,1,0,0,-1.2,-0.5,2,0,0,0,0,0,1.8,4.5,0,0.443366559
5608,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0.424680612
4802,0,0,0,17.5,0,0,-0.75,0,3.75,0,0,0,0,0,0,3.75,0,0.411940194
4729,0,0.833333333,0,1.666666667,0,0,-1,0,1.666666667,0,5,10,0,0,0,4.166666667,0,0.379381347
5988,0,15,0,0,0,0,-3.75,0,5,0,0,0,0,0,0,5,0,0.36097852
4614,0,0.625,0,9.375,0,0,0,0,2.5,3.75,0,0,0,0,0,4.375,0,0.350361505
5876,0,1.666666667,10,3.333333333,0,0,-3,0,3.333333333,0,0,0,0,0,0,5,0,0.345406898
6935,0,5,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0.33974449
6432,0,2.5,0,8.75,0,0,-0.75,0,5,0,0,0,0,0,0,3.75,0,0.327004071
7113,0,0,0,12.14285714,0,0,-0.428571429,0,1.428571429,0,0,0,0,0,0,4.285714286,0,0.296063055
6525,0,10,0,0,0,0,-3.857142857,0,3.571428571,2.142857143,0,0,0,0,0,5,0,0.28635607
7124,0,7.5,0,0,0,0,-2.1,0,3.5,1.5,0,0,0,0.025,0,5,0,0.262027938
4814,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0.254808367
6063,0,0.714285714,0,3.571428571,0,0,-0.428571429,0,2.142857143,0,0,4.285714286,0,0,0,4.285714286,0,0.247528128
7128,0,3.571428571,2.857142857,3.571428571,0,0,-4.714285714,0,1.428571429,2.142857143,0,0,0,0,0,5,0,0.235394396
6035,0,2.5,0,3.333333333,0,0,-1.5,0,3.333333333,0,0,0,0,0,0,5,0,0.21517151
6449,0,0,0,6,0,0,0,-0.5,2.5,0,0,0,0,0,0,3,0,0.186859469
4801,0,0,0,0,0,0,0,-0.625,4.375,1.875,0,0,0,0,0,5,0,0.18048926
6575,0,2.5,0,0,0,0,-0.75,0,3.125,0,0,0,0,0,0,5,0,0.167748842
6876,0,5,0,0,0,0,-6,0,5,0,0,0,0,0,0,5,0,0.15288502
6476,0,2.142857143,0,0,0,0,-2.571428571,0,3.571428571,0,0,0,0,0,0,5,0,0.138324542
6440,0,0,0,6.666666667,0,0,-4.5,0,0,0,0,0,0,0,0,5,0,0.121741775
7163,0,2,0,0,0,0,-1.8,-1,1,3,0,0,0,0,0,2,0,0.088333567
5564,0,2.5,0,0,0,0,-3.375,-1.875,2.5,0,0,0,0,0,0,4.375,0,0.070072301
5989,0,5,0,0,0,0,-6,0,0,0,0,0,0,0,0,5,0,0.067948898
7040,0,5,0,0,0,0,-6,0,0,0,0,0,0,0,0,5,0,0.067948898
7183,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,-0.084936122
